errorCode	errorNum         errorMsg
1	 ORA-00001      unique constraint (.) violated
2	  ORA-00017      session requested to set trace even
3	 ORA-00018     maximum number of sessions exceeded
4	 ORA-00019     maximum number of session licenses exceeded
5	ORA-00020     maximum number of processes () exceeded
6	ORA-00021     session attached to some other process; cannot switch session
7	ORA-00022     invalid session ID; access denied
8	ORA-00023     session references process private memory; cannot detach session
9	ORA-00024     logins from more than one process not allowed in single-process mode
10	ORA-00025     failed to allocate
11	ORA-00026     missing or invalid session ID
12	ORA-00027     cannot kill current session
13	ORA-00028     your session has been killed
14	ORA-00029     session is not a user session
15	ORA-00030     User session ID does not exist.
16	ORA-00031     session marked for kill
17	ORA-00032     invalid session migration password
18	ORA-00033     current session has empty migration password
19	ORA-00034     cannot in current PL/SQL session
20	ORA-00035     LICENSE_MAX_USERS cannot be less than current number of users
21	ORA-00036     maximum number of recursive SQL levels () exceeded
22	ORA-00037     cannot switch to a session belonging to a different server group
23	ORA-00038     Cannot create session     server group belongs to another user
24	ORA-00039     error during periodic action
25	ORA-00040     active time limit exceeded - call aborted
26	ORA-00041     active time limit exceeded - session terminated
27	ORA-00042     Unknown Service name
28	ORA-00050     operating system error occurred while obtaining an enqueue
29	ORA-00051     timeout occurred while waiting for a resource
30	ORA-00052     maximum number of enqueue resources () exceeded
31	ORA-00053     maximum number of enqueues exceeded
32	ORA-00054     resource busy and acquire with NOWAIT specified
33	ORA-00055     maximum number of DML locks exceeded
34	ORA-00056     DDL lock on object '.' is already held in an incompatible mode
35	ORA-00057     maximum number of temporary table locks exceeded
36	ORA-00058     DB_BLOCK_SIZE must be to mount this database (not )
37	ORA-00059     maximum number of DB_FILES exceeded
38	ORA-00060     deadlock detected while waiting for resource
39	ORA-00061     another instance has a different DML_LOCKS setting
40	ORA-00062     DML full-table lock cannot be acquired; DML_LOCKS is 0
41	ORA-00063     maximum number of log files exceeded
42	ORA-00064     object is too large to allocate on this O/S (,)
43	ORA-00065     initialization of FIXED_DATE failed
44	ORA-00066     SID contains an illegal character
45	ORA-00067     invalid value for parameter ; must be at least
46	ORA-00068     invalid value for parameter , must be between and
47	ORA-00069     cannot acquire lock -- table locks disabled for
48	ORA-00070     command is not valid
49	ORA-00071     process number must be between 1 and
50	ORA-00072     process "" is not active
51	ORA-00073     command takes between and argument(s)
52	ORA-00074     no process has been specified
53	ORA-00075     process "" not found in this instance
54	ORA-00076     dump not found
55	ORA-00077     dump is not valid
56	ORA-00078     cannot dump variables by name
57	ORA-00079     variable not found
58	ORA-00080     invalid global area specified by level
59	ORA-00081     address range [, ) is not readable
60	ORA-00082     memory size of is not in valid set of [1], [2], [4]
61	ORA-00083     warning     possibly corrupt SGA mapped
62	ORA-00084     global area must be PGA, SGA, or UGA
63	ORA-00085     current call does not exist
64	ORA-00086     user call does not exist
65	ORA-00087     command cannot be executed on remote instance
66	ORA-00088     command cannot be executed by shared server
67	ORA-00089     invalid instance number in ORADEBUG command
68	ORA-00090     failed to allocate memory for cluster database ORADEBUG command
69	ORA-00091     LARGE_POOL_SIZE must be at least
70	ORA-00092     LARGE_POOL_SIZE must be greater than LARGE_POOL_MIN_ALLOC
71	ORA-00093     must be between and
72	ORA-00094     requires an integer value
73	ORA-00096     invalid value for parameter , must be from among
74	ORA-00097     use of Oracle SQL feature not in SQL92 Level
75	ORA-00100     no data found
76	ORA-00101     invalid specification for system parameter DISPATCHERS
77	ORA-00102     network protocol cannot be used by dispatchers
78	ORA-00103     invalid network protocol; reserved for use by dispatchers
79	ORA-00104     deadlock detected; all public servers blocked waiting for resources
80	ORA-00105     too many dispatcher configurations
81	ORA-00106     cannot startup/shutdown database when connected to a dispatcher
82	ORA-00107     failed to connect to ORACLE listener process
83	ORA-00108     failed to set up dispatcher to accept connection asynchronously
84	ORA-00109     invalid value for attribute     
85	ORA-00110     invalid value for attribute , must be between and
86	ORA-00111     invalid attribute
87	ORA-00112     value of is null
88	ORA-00113     protocol name is too long
89	ORA-00114     missing value for system parameter SERVICE_NAMES
90	ORA-00115     connection refused; dispatcher connection table is full
91	ORA-00116     SERVICE_NAMES name is too long
92	ORA-00117     PROTOCOL, ADDRESS or DESCRIPTION must be specified
93	ORA-00118     Only one of PROTOCOL, ADDRESS or DESCRIPTION may be specified
94	ORA-00119     invalid specification for system parameter
95	ORA-00122     cannot initialize network configuration
96	ORA-00123     idle public server terminating
97	ORA-00125     connection refused; invalid presentation
98	ORA-00126     connection refused; invalid duplicity
99	ORA-00127     dispatcher does not exist
100	ORA-00128     this command requires a dispatcher name
101	ORA-00129     listener address validation failed ''
102	ORA-00130     invalid listener address ''
103	ORA-00131     network protocol does not support registration ''
104	ORA-00132     syntax error or unresolved network name ''
105	ORA-00133     value of is too long
106	ORA-00134     invalid DISPATCHERS specification #
107	ORA-00150     duplicate transaction ID
108	ORA-00151     invalid transaction ID
109	ORA-00152     current session does not match requested session
110	ORA-00153     internal error in XA library
111	ORA-00154     protocol error in transaction monitor
112	ORA-00155     cannot perform work outside of global transaction
113	ORA-00160     global transaction length is greater than maximum ()
114	ORA-00161     transaction branch length is illegal (maximum allowed )
115	ORA-00162     external dbid length is greater than maximum ()
116	ORA-00163     internal database name length is greater than maximum ()
117	ORA-00164     distributed autonomous transaction disallowed within migratable distributed transaction
118	ORA-00165     migratable distributed autonomous transaction with remote operation is not allowed
119	ORA-00166     remote/local nesting level is too deep
120	ORA-00200     control file could not be created
121	ORA-00201     control file version incompatible with ORACLE version
122	ORA-00202     control file     ''
123	ORA-00203     using the wrong control files
124	ORA-00204     error in reading (block , # blocks ) of control file
125	ORA-00205     error in identifying control file, check alert log for more info
126	ORA-00206     error in writing (block , # blocks ) of control file
127	ORA-00207     control files are not for the same database
128	ORA-00208     number of control file names exceeds limit of
129	ORA-00209     control file blocksize mismatch, check alert log for more info
130	ORA-00210     cannot open the specified control file
131	ORA-00211     control file does not match previous control files
132	ORA-00212     block size below minimum required size of bytes
133	ORA-00213     cannot reuse control file; old file size , required
134	ORA-00214     control file '' version inconsistent with file '' version
135	ORA-00215     must be at least one control file
136	ORA-00216     control file could not be resized for migration from 8.0.2
137	ORA-00217     control file could not be resized for new record types
138	ORA-00218     block size of control file '' does not match DB_BLOCK_SIZE ()
139	ORA-00219     required control file size ( logical blocks) exceeds maximum allowable size ( logical blocks)
140	ORA-00220     control file not mounted by first instance, check alert log for more info
141	ORA-00221     error on write to control file
142	ORA-00222     operation would reuse name of a currently mounted control file
143	ORA-00223     convert file is invalid or incorrect version
144	ORA-00224     control file resize attempted with illegal record type ()
145	ORA-00225     expected size of control file differs from actual size
146	ORA-00226     operation disallowed while alternate control file open
147	ORA-00227     corrupt block detected in control file     (block , # blocks )
148	ORA-00228     length of alternate control file name exceeds maximum of
149	ORA-00229     operation disallowed     already hold snapshot control file enqueue
150	ORA-00230     operation disallowed     snapshot control file enqueue unavailable
151	ORA-00231     snapshot control file has not been named
152	ORA-00232     snapshot control file is nonexistent, corrupt, or unreadable
153	ORA-00233     copy control file is corrupt or unreadable
154	ORA-00234     error in identifying or opening snapshot or copy control file
155	ORA-00235     control file fixed table inconsistent due to concurrent update
156	ORA-00236     snapshot operation disallowed     mounted control file is a backup
157	ORA-00237     snapshot operation disallowed     control file newly created
158	ORA-00238     operation would reuse a filename that is part of the database
159	ORA-00239     timeout waiting for control file enqueue     held by '' for more than seconds
160	ORA-00240     control file enqueue held for more than seconds
161	ORA-00250     archiver not started
162	ORA-00251     LOG_ARCHIVE_DUPLEX_DEST cannot be the same destination as string
163	ORA-00252     log of thread is empty, cannot archive
164	ORA-00253     character limit exceeded by archive destination string
165	ORA-00254     error in archive control string ''
166	ORA-00255     error archiving log of thread , sequence #
167	ORA-00256     cannot translate archive destination string
168	ORA-00257     archiver error. Connect internal only, until freed.
169	ORA-00258     manual archiving in NOARCHIVELOG mode must identify log
170	ORA-00259     log of open instance (thread ) is the current log, cannot archive
171	ORA-00260     cannot find online log sequence for thread
172	ORA-00261     log of thread is being archived or modified
173	ORA-00262     current log of closed thread cannot switch
174	ORA-00263     there are no logs that need archiving for thread
175	ORA-00264     no recovery required
176	ORA-00265     instance recovery required, cannot set ARCHIVELOG mode
177	ORA-00266     name of archived log file needed
178	ORA-00267     name of archived log file not needed
179	ORA-00268     specified log file does not exist ''
180	ORA-00269     specified log file is part of thread not
181	ORA-00270     error creating archive log
182	ORA-00271     there are no logs that need archiving
183	ORA-00272     error writing archive log
184	ORA-00273     media recovery of direct load data that was not logged
185	ORA-00274     illegal recovery option
186	ORA-00275     media recovery has already been started
187	ORA-00276     CHANGE keyword specified but no change number given
188	ORA-00277     illegal option to the UNTIL recovery flag
189	ORA-00278     log file '' no longer needed for this recovery
190	ORA-00279     change generated at needed for thread
191	ORA-00280     change for thread is in sequence #
192	ORA-00281     media recovery may not be performed using dispatcher
193	ORA-00282     UPI call not supported, use ALTER DATABASE RECOVER
194	ORA-00283     recovery session canceled due to errors
195	ORA-00284     recovery session still in progress
196	ORA-00285     TIME not given as a string constant
197	ORA-00286     no members available, or no member contains valid data
198	ORA-00287     specified change number not found in thread
199	ORA-00288     to continue recovery type ALTER DATABASE RECOVER CONTINUE
200	ORA-00289     suggestion     
201	ORA-00290     operating system archival error occurred. See error below
202	ORA-00291     numeric value required for PARALLEL option
203	ORA-00292     parallel recovery feature not installed
204	ORA-00293     control file out of sync with redo log
205	ORA-00294     invalid archivelog format specifier ''
206	ORA-00295     datafile/tempfile number is invalid, must be between 1 and
207	ORA-00296     maximum number of files () exceeded for RECOVER DATAFILE LIST
208	ORA-00297     must specify RECOVER DATAFILE LIST before RECOVER DATAFILE START
209	ORA-00298     Missing or invalid attribute value
210	ORA-00299     must use file-level media recovery on data file
211	ORA-00300     illegal redo log block size specified - exceeds limit of
212	ORA-00301     error in adding log file '' - file cannot be created
213	ORA-00302     limit of logs exceeded
214	ORA-00303     cannot process Parallel Redo
215	ORA-00304     requested INSTANCE_NUMBER is busy
216	ORA-00305     log of thread inconsistent; belongs to another database
217	ORA-00306     limit of instances in this database
218	ORA-00307     requested INSTANCE_NUMBER out of range, maximum is
219	ORA-00308     cannot open archived log ''
220	ORA-00309     log belongs to wrong database
221	ORA-00310     archived log contains sequence ; sequence required
222	ORA-00311     cannot read header from archived log
223	ORA-00312     online log thread      ''
224	ORA-00313     open failed for members of log group of thread
225	ORA-00314     log of thread , expected sequence# doesn't match
226	ORA-00315     log of thread , wrong thread # in header
227	ORA-00316     log of thread , type in header is not log file
228	ORA-00317     file type in header is not log file
229	ORA-00318     log of thread , expected file size doesn't match
230	ORA-00319     log of thread has incorrect log reset status
231	ORA-00320     cannot read file header from log of thread
232	ORA-00321     log of thread , cannot update log file header
